日付,摘要,出金,入金,残高
2024-01-05,管理費・修繕積立金 101号室,,35000,1235000
2024-01-05,管理費・修繕積立金 102号室,,35000,1270000
2024-01-05,管理費・修繕積立金 201号室,,42000,1312000
2024-01-05,管理費・修繕積立金 202号室,,42000,1354000
2024-01-08,駐車場使用料 複数,,45000,1399000
2024-01-10,清掃業務委託 ◯◯クリーンサービス,85000,,1314000
2024-01-12,エレベーター保守点検 △△エレベーター,35000,,1279000
2024-01-15,電気料金 共用部,42500,,1236500
2024-01-15,水道料金,28000,,1208500
2024-01-18,管理費・修繕積立金 301号室,,35000,1243500
2024-01-18,管理費・修繕積立金 302号室,,35000,1278500
2024-01-20,保険料支払い 火災保険,125000,,1153500
2024-01-22,植栽剪定作業 ××造園,65000,,1088500
2024-01-25,管理費・修繕積立金 401号室,,42000,1130500
2024-01-25,管理費・修繕積立金 402号室,,42000,1172500
2024-01-28,修繕工事 給水ポンプ交換,280000,,892500
2024-01-30,管理会社委託費,150000,,742500
2024-01-31,振込手数料,880,,741620
